[2023-10-19 10:45:51.372] | DEBUG | controllers.cart_controllers | buy_cart | cart_controllers.py:1046 | cart details recieved succesfully for cartId:{'_id': ObjectId('6530a9b6ca2d5a6cb37e91a8'), 'userId': '652f84b08cb4bfc08d45225a', 'createdAt': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'items': [{'itemId': '111', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 50, 693000)}, {'itemId': '112', 'itemType': 'TIER', 'price': 1000, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000), 'lastUpdated': datetime.datetime(2023, 10, 19, 3, 59, 56, 356000)}, {'itemId': '455', 'itemType': 'TIER', 'price': 56, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000), 'lastUpdated': datetime.datetime(2023, 10, 19, 4, 0, 4, 215000)}, {'itemId': '652f7a6d043c08db8d32c2e6', 'itemType': 'MODEL', 'price': 59.99, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 4, 24, 769000)}, {'itemId': '652f7d05424b31762a0deef7', 'itemType': 'MODEL', 'price': 99.88, 'currency': 'USD', 'quantity': 1, 'addedOn': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000), 'lastUpdated': datetime.datetime(2023, 10, 19, 5, 5, 22, 476000)}]}
[2023-10-19 10:45:58.011] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:45:58.119] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:45:58.489] | ERROR | services.m2m_calls | m2m_request | m2m_calls.py:54 | campaign service not found: {'detail': 'error in getting tiers'}
[2023-10-19 10:45:58.515] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1697692558.515669, elapsed time: 0.59 seconds with request id ikarus-12617196608202783629
[2023-10-19 10:45:58.556] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 630.3880214691162 ms
[2023-10-19 10:57:39.146] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11292593037297892939
[2023-10-19 10:57:39.154] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:57:39.273] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:57:39.276] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:57:39.279] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1697693259.2791562 with request id ikarus-11292593037297892939
[2023-10-19 10:57:39.282] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:137 | /api/v1/my-orders Api called to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:57:39.377] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:57:39.572] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:57:41.469] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:57:41.590] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:57:43.201] | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:232 | Order details recieved succesfully
[2023-10-19 10:57:43.203] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:233 | /api/v1/my-orders Api Executed to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:57:43.207] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1697693263.207655, elapsed time: 3.93 seconds with request id ikarus-11292593037297892939
[2023-10-19 10:57:43.214] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 3935.4982376098633 ms
[2023-10-19 10:57:48.303] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-10099348288067124820
[2023-10-19 10:57:48.305] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:57:48.306] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:57:48.307] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:57:48.308] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/orders started at 1697693268.308219 with request id ikarus-10099348288067124820
[2023-10-19 10:57:48.310] | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:137 | /api/v1/my-orders Api called to get the order details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:57:48.384] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:57:48.499] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
